0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/uniq" ; Size : 245368 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/chgrp" ; Size : 390256 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/csplit" ; Size : 878976 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/nohup" ; Size : 202056 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/yes" ; Size : 177352 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/unlink" ; Size : 182856 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/touch" ; Size : 593928 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/install" ; Size : 718784 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/sha1sum" ; Size : 260536 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/test" ; Size : 202952 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/sha512sum" ; Size : 407152 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/setkbl" ; Size : 3992 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/realpath" ; Size : 278336 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/expr" ; Size : 1020080 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/base32" ; Size : 228264 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/date" ; Size : 641584 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/clear" ; Size : 130728 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/sleep" ; Size : 205712 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/dircolors" ; Size : 262952 bytes
0000-00-00 00:00:00.000 - [Info] 	├── Symbolic link : "bin/sh" -> "bash"
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/df" ; Size : 641568 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/chroot" ; Size : 493008 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/mkfifo" ; Size : 213248 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/tac" ; Size : 666824 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/cp" ; Size : 650264 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/sha384sum" ; Size : 407152 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/less" ; Size : 995184 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/logname" ; Size : 173000 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/shuf" ; Size : 302136 bytes
0000-00-00 00:00:00.000 - [Info] 	├── Symbolic link : "bin/infotocap" -> "tic"
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/basename" ; Size : 175840 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/tput" ; Size : 139432 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/tr" ; Size : 232752 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/false" ; Size : 151504 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/tic" ; Size : 270288 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/mknod" ; Size : 227936 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "bin/egrep" ; Size : 104 bytes
0000-00-00 00:00:00.000 - [Info] 	├── Directory : "sbin"
0000-00-00 00:00:00.000 - [Info] 	├── File : "sbin/init" ; Size : 4384 bytes
0000-00-00 00:00:00.000 - [Info] 	├── Directory : "root"
0000-00-00 00:00:00.000 - [Info] 	├── File : "root/.bashrc" ; Size : 2071 bytes
0000-00-00 00:00:00.000 - [Info] 	├── Directory : "usr"
0000-00-00 00:00:00.000 - [Info] 	├── Directory : "usr/lib"
0000-00-00 00:00:00.000 - [Info] 	├── File : "usr/lib/libc.so" ; Size : 17298128 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "usr/lib/libdl.so" ; Size : 2720 bytes
0000-00-00 00:00:00.000 - [Info] 	├── File : "usr/lib/ld.so" ; Size : 1759856 bytes
0000-00-00 00:00:00.000 - [Info] 	├── Directory : "usr/share"
0000-00-00 00:00:00.000 - [Info] 	├── Directory : "usr/share/terminfo"
0000-00-00 00:00:00.000 - [Info] 	├── Directory : "usr/share/terminfo/h"
0000-00-00 00:00:00.000 - [Info] 	└── File : "usr/share/terminfo/h/hterm" ; Size : 2377 bytes
0000-00-00 00:00:00.000 - [Info] 	Done parsing initrd (149 files)
0000-00-00 00:00:00.000 - [Debug] 	Opening file "boot/symbols.txt" from initrd
0000-00-00 00:00:00.000 - [Debug] 	Loading font "boot/ka8x16thin-1.psf":
0000-00-00 00:00:00.000 - [Debug] 	Opening file "boot/ka8x16thin-1.psf" from initrd
0000-00-00 00:00:00.000 - [Info] 	Loaded psf font "boot/ka8x16thin-1.psf":
0000-00-00 00:00:00.000 - [Debug] 		char width: 8
0000-00-00 00:00:00.000 - [Debug] 		char height: 16
0000-00-00 00:00:00.000 - [Debug] 		bytes per glyph: 16
0000-00-00 00:00:00.000 - [Debug] 		num glyph: 256
0000-00-00 00:00:00.000 - [Debug] 	Loading font "boot/tcvn8x16.psf":
0000-00-00 00:00:00.000 - [Debug] 	Opening file "boot/tcvn8x16.psf" from initrd
0000-00-00 00:00:00.000 - [Info] 	Loaded psf font "boot/tcvn8x16.psf":
0000-00-00 00:00:00.000 - [Debug] 		char width: 8
0000-00-00 00:00:00.000 - [Debug] 		char height: 16
0000-00-00 00:00:00.000 - [Debug] 		bytes per glyph: 16
0000-00-00 00:00:00.000 - [Debug] 		num glyph: 256
0000-00-00 00:00:00.000 - [Info] 	Usable memory map:
0000-00-00 00:00:00.000 - [Debug] 	   Limine memory block : address : 0x1000 ; length : 393216 | type : 5
0000-00-00 00:00:00.000 - [Debug] 	   Limine memory block : address : 0x61000 ; length : 253952 | type : 0
0000-00-00 00:00:00.000 - [Info] 	   Memory block : address : 0x61000 ; length : 253952
0000-00-00 00:00:00.000 - [Debug] 	   Limine memory block : address : 0x9fc00 ; length : 1024 | type : 1
0000-00-00 00:00:00.000 - [Debug] 	   Limine memory block : address : 0xf0000 ; length : 20480 | type : 1
0000-00-00 00:00:00.000 - [Debug] 	   Limine memory block : address : 0xf5000 ; length : 4096 | type : 8
0000-00-00 00:00:00.000 - [Debug] 	   Limine memory block : address : 0xf6000 ; length : 40960 | type : 1
0000-00-00 00:00:00.000 - [Debug] 	   Limine memory block : address : 0x100000 ; length : 995241984 | type : 0
0000-00-00 00:00:00.000 - [Info] 	   Memory block : address : 0x100000 ; length : 995241984
0000-00-00 00:00:00.000 - [Debug] 	   Limine memory block : address : 0x3b623000 ; length : 393216 | type : 5
0000-00-00 00:00:00.000 - [Debug] 	   Limine memory block : address : 0x3b683000 ; length : 67104768 | type : 6
